linker,тип,источник
а значит,многословные,ruslinkers
а то нет,многословные,нкря
авось,однословные,нкря
без всякого намерения,многословные,нкря
без всякого сомнения,многословные,нкря
без всякого сомненья,многословные,нкря
без сомнения,многословные,ruslinkers;нкря
без сомненья,многословные,нкря
безусловно,однословные,ruslinkers;нкря
бери выше,многословные,нкря
берите выше,многословные,нкря
бес ... знает,многокомпонентные,нкря
бесспорно,однословные,ruslinkers;нкря
благо,однословные,нкря
благодаренье богу,многословные,нкря
благодаренье господу,многословные,нкря
более того,многословные,ruslinkers;нкря
будто нарочно,многословные,нкря
буквально,однословные,нкря
бывает,однословные,мои
бывало,однословные,нкря
была не была,многословные,нкря
быть может,многословные,ruslinkers;нкря
в данном случае,многословные,нкря
в действительности,многословные,мои
в конечном итоге,многословные,нкря
в конечном счете,многословные,нкря
в общем,многословные,ruslinkers;нкря
в общем и целом,многословные,нкря
в особенности,многословные,ruslinkers
в первую очередь,многословные,ruslinkers
в последнем счете,многословные,нкря
в принципе,многословные,нкря
в самом деле,многословные,мои;нкря
в скобках заметим,многословные,нкря
в скобках замечу,многословные,нкря
в сущности,многословные,нкря
в сущности говоря,многословные,нкря
в таком случае,многословные,нкря
в то же время,многословные,ruslinkers
в том числе,многословные,ruslinkers
в частности,многословные,ruslinkers;нкря
в этом случае,многословные,нкря
в-пятых,однословные,нкря
в-седьмых,однословные,нкря
в-третьих,однословные,нкря
в-четвертых,однословные,нкря
в-шестых,однословные,нкря
важно отметить,многословные,нкря
важно понимать,многословные,нкря
важно понять,многословные,нкря
ваша правда,многословные,нкря
верите ли,многословные,мои
веришь ли,многословные,мои
вернее,однословные,ruslinkers;нкря
вернее сказать,многословные,мои
верно,однословные,ruslinkers;нкря
вероятнее,однословные,нкря
вероятнее всего,многословные,нкря
вероятней всего,многословные,нкря
вероятно,однословные,ruslinkers;нкря
вестимо,однословные,нкря
видать,однословные,нкря
видимо,однословные,ruslinkers;нкря
видимое дело,многословные,нкря
видит бог,многословные,нкря
видите ли,многословные,нкря
видишь ли,многословные,нкря
видно,однословные,ruslinkers;нкря
видно... что,многокомпонентные,ruslinkers
вместе с тем,многословные,ruslinkers;нкря
вне всякого сомнения,многословные,нкря
вне сомнения,многословные,нкря
во всяком случае,многословные,ruslinkers;нкря
во-вторых,однословные,нкря
во-первых,однословные,нкря
возможно,однословные,ruslinkers;нкря
воистину,однословные,нкря
вообразите,однословные,мои
вообще,однословные,ruslinkers;нкря
вообще говоря,многословные,ruslinkers;нкря
вообще-то,однословные,ruslinkers;нкря
вообщем,однословные,нкря
вполне вероятно,многословные,нкря
вполне понятно,многословные,нкря
вправду,однословные,нкря
впрочем,однословные,ruslinkers;нкря
впрямь,однословные,нкря
вроде,однословные,нкря
выходит,однословные,ruslinkers
главное,однословные,нкря
главным образом,многословные,ruslinkers
говоря попросту,многословные,нкря
говорят,однословные,мои
грешный человек,многословные,нкря
грешным делом,многословные,нкря
грубо говоря,многословные,нкря
дай бог,многословные,нкря
далее,однословные,нкря
дальше больше,многословные,нкря
действительно,однословные,ruslinkers;нкря
делать нечего,многословные,нкря
дело прошлое,многословные,нкря
дело ясное,многословные,нкря
дескать,однословные,нкря
"долго ли, коротко ли",многословные,нкря
должен,однословные,нкря
должно,однословные,нкря
должно быть,многословные,ruslinkers;нкря
доложу я вам,многословные,нкря
доложу я тебе,многословные,нкря
допустим,однословные,ruslinkers;нкря
другими словами,многословные,ruslinkers;нкря
думаю,однословные,мои
единственно,однословные,нкря
елки зеленые,многословные,нкря
если можно сказать,многословные,мои
если можно так выразиться,многословные,мои
если позволите,многословные,нкря
если позволишь,многословные,нкря
если угодно,многословные,нкря
если угодно знать,многословные,нкря
если хотите,многословные,нкря
если хотите знать,многословные,нкря
если хочешь знать,многословные,нкря
если хочешь,многословные,нкря
естественно,однословные,ruslinkers;нкря
ещё,однословные,ruslinkers
знаете ли,многословные,мои
знаешь ли,многословные,мои
знамо,однословные,нкря
знамо дело,многословные,нкря
значит,однословные,ruslinkers;нкря
и правда,многословные,ruslinkers
и стало быть,многословные,ruslinkers
известно,однословные,нкря
именно,однословные,нкря
имхо,однословные,нкря
иначе говоря,многословные,ruslinkers;нкря
интересно знать,многословные,нкря
иными словами,многословные,ruslinkers;нкря
истинно,однословные,нкря
итак,однословные,нкря
к ... сожалению,многокомпонентные,нкря
к вашему сведению,многословные,нкря
к досаде,многословные,мои
к несчастью,многословные,мои
к огорчению,многословные,мои
к примеру,многословные,ruslinkers;нкря
к прискорбию,многословные,мои
к радости,многословные,мои
к слову,многословные,ruslinkers;нкря
к слову сказать,многословные,ruslinkers;нкря
к сожалению,многословные,мои
к стыду,многословные,мои
к счастью,многословные,мои
к твоему сведению,многословные,нкря
к тому же,многословные,ruslinkers
к удивлению,многословные,мои
к ужасу,многословные,мои
кажется,однословные,ruslinkers;нкря
кажись,однословные,нкря
казалось бы,многословные,мои
как бы то ни было,многословные,нкря
как видите,многословные,нкря
как видится,многословные,нкря
как видишь,многословные,нкря
как водится,многословные,нкря
как выяснилось,многословные,нкря
как говорится,многословные,нкря
как знать,многословные,нкря
как известно,многословные,нкря
как на грех,многословные,нкря
как например,многословные,ruslinkers
как нарочно,многословные,нкря
как ни верти,многословные,нкря
как ни вертись,многословные,нкря
как ни крути,многословные,нкря
как ни крутись,многословные,нкря
как ни поверни,многословные,нкря
как правило,многословные,нкря
как сейчас помню,многословные,нкря
как сказать,многословные,нкря
как я погляжу,многословные,нкря
как-никак,однословные,нкря
каково,однословные,нкря
конечно,однословные,ruslinkers;нкря
конечно же,многословные,нкря
конешно,однословные,нкря
коротко говоря,многословные,ruslinkers
короче,однословные,ruslinkers;нкря
короче говоря,многословные,ruslinkers;нкря
кроме того,многословные,ruslinkers;нкря
кроме шуток,многословные,нкря
кстати,однословные,ruslinkers;нкря
кстати говоря,многословные,нкря
кстати о птичках,многословные,нкря
кстати сказать,многословные,нкря
логично предположить,многословные,нкря
лучше,однословные,ruslinkers;нкря
лучше сказать,многословные,ruslinkers;мои
между нами будь сказано,многословные,мои
между нами говоря,многословные,мои
между прочим,многословные,ruslinkers;нкря
между тем,многословные,ruslinkers
мне кажется,многословные,нкря
мне казалось,многословные,нкря
може,однословные,нкря
может,однословные,ruslinkers;нкря
может быть,многословные,ruslinkers;нкря
может оказаться,многословные,нкря
может статься,многословные,нкря
можно сказать,многословные,нкря
мол,однословные,нкря
мягко выражаясь,многословные,нкря
мягко говоря,многословные,нкря
мягко сказать,многословные,нкря
на ... беду,многокомпонентные,нкря
на ... взгляд,многокомпонентные,нкря
на ... несчастье,многокомпонентные,нкря
на беду,многословные,мои
на беду мою,многословные,нкря
на несчастье,многословные,нкря
на радость,многословные,мои
на самом деле,многословные,мои
на счастье,многословные,мои
на худой конец,многословные,нкря
наверно,однословные,ruslinkers;нкря
наверное,однословные,ruslinkers;нкря
наверняка,однословные,нкря
надеюсь,однословные,мои
надо думать,многословные,нкря
надо полагать,многословные,ruslinkers;нкря
надо сказать,многословные,ruslinkers;нкря
наконец,однословные,ruslinkers;нкря
наоборот,однословные,ruslinkers;нкря
напр.,однословные,нкря
например,однословные,ruslinkers;нкря
напротив,однословные,ruslinkers;нкря
напротреть,однословные,нкря
нарат,однословные,нкря
нарочно,однословные,нкря
натурально,однословные,нкря
не в укор будет сказано,многословные,мои
не дай бог,многословные,нкря
не дай боже,многословные,нкря
не к ночи будь помянут,многословные,нкря
не правда ли,многословные,мои
не тем будь помянут,многословные,нкря
небось,однословные,нкря
необходимо отметить,многословные,нкря
необходимо учесть,многословные,нкря
необходимо учитывать,многословные,нкря
неровен час,многословные,мои
несмотря ни на что,многословные,нкря
несомненно,однословные,ruslinkers;нкря
нечего греха таить,многословные,мои
нечего делать,многословные,нкря
никак,однословные,нкря
никуда не денешься,многословные,нкря
никуда не деться,многословные,нкря
образно говоря,многословные,нкря
обратно,однословные,нкря
обыкновенно,однословные,нкря
однако,однословные,ruslinkers;нкря
однакож,однословные,нкря
однакоже,однословные,нкря
одним словом,многословные,ruslinkers;нкря
одним словом сказать,многословные,нкря
одно ясно,многословные,нкря
определенно,однословные,нкря
опять-таки,однословные,нкря
откровенно говоря,многословные,нкря
отчасти,однословные,нкря
очевидно,однословные,ruslinkers;нкря
пардон,однословные,нкря
паче чаяния,многословные,нкря
передают,однословные,мои
плюс,однословные,нкря
по ... мнению,многокомпонентные,нкря
по видимости,многословные,нкря
по всей вероятности,многословные,ruslinkers;нкря
по всему вероятию,многословные,нкря
по идее,многословные,нкря
по крайней мере,многословные,ruslinkers;мои
по меньшей мере,многословные,ruslinkers
по мере возможности,многословные,нкря
по мне,многословные,ruslinkers
по мнению,многословные,мои
по несчастью,многословные,мои
по обыкновению,многословные,мои
по обычаю,многословные,мои
по правде,многословные,мои
по правде говоря,многословные,нкря
по правде сказать,многословные,нкря
по преданию,многословные,мои
по преимуществу,многословные,ruslinkers
по сведениям,многословные,мои
по силе возможности,многословные,нкря
по словам,многословные,мои
по слухам,многословные,нкря
по совести,многословные,мои
по совести говоря,многословные,нкря
по сообщению,многословные,мои
по справедливости,многословные,мои
по сути,многословные,мои
по сути говоря,многословные,нкря
по сути дела,многословные,нкря
по существу,многословные,мои
по счастию,многословные,нкря
по счастью,многословные,нкря
по-вашему,однословные,нкря
по-видимому,однословные,ruslinkers;нкря
по-моему,однословные,ruslinkers;нкря
по-нашему,однословные,нкря
по-своему,однословные,нкря
по-твоему,однословные,ruslinkers;нкря
по-хорошему,однословные,нкря
поверь,однословные,мои
поверьте,однословные,мои
повторяю,однословные,мои
поди,однословные,нкря
подлинно,однословные,нкря
поднимай выше,многословные,нкря
подумай только,многословные,нкря
подумайте только,многословные,нкря
подумать только,многословные,нкря
подчеркиваю,однословные,мои
