linker,semfield1,semfield2,pragmatics,atoms
а,соединение(конъюнкция);присоединение(дополнение),противление,,
а в особенности,присоединение(выделение),противление,акцентуализация,"а,в особенности"
а в результате,импликация(следствие),противление,,"а,в результате"
а в то же время,время;противление,,,
а вдобавок,присоединение(дополнение),,,
а ведь,противление,,эпистемика,
а вернее,парафраз,,эпистемика,
а вернее сказать,парафраз,,эпистемика,
а вместе с тем,присоединение(дополнение),противление,,
а всё ж,противление,уступка,,
а всё ж таки,противление,уступка,,
а всё же,противление,уступка,,
а всё-таки,противление,уступка,,
а главное,присоединение(выделение),,оценка,
а если,условие,противление,,
а если и,условие,противление,,
а ещё,присоединение(дополнение);противление,,,
а зато,замещение,противление,,
а значит,импликация(следствие),,,
а и оттого,импликация(причина),,,
а и то,присоединение(дополнение),противление,,
а именно,присоединение(уточнение);парафраз,,акцентуализация,
а иначе,замещение,противление,,
а к тому же,присоединение(дополнение),,,
а кроме того,присоединение(дополнение),противление,,
а лучше сказать,парафраз,,оценка,
а между тем,присоединение(дополнение);время;уступка,,,
а может быть,присоединение(дополнение);противление,,эпистемика,
а не,замещение,противление,,
а не то,замещение;импликация(следствие);дизъюнкция,противление,,
а не то что,замещение;парафраз,,,
а не только,противление,,акцентуализация,
а не только что,противление,,,
а особенно,присоединение(выделение),,акцентуализация,
а оттого,импликация(причина),,,
а потому,импликация(следствие),,,
а поэтому,импликация(следствие),,,
а равно и,соединение;присоединение(дополнение),сравнение,,
а следовательно,импликация(следствие),,,
а стало быть,импликация(следствие),,,
а также,соединение(конъюнкция);присоединение(дополнение),,,
а также и,соединение(конъюнкция);присоединение(дополнение),,,
а тем более,присоединение(выделение),,,
а тем не менее,противление,,,
а то,замещение;импликация(следствие);дизъюнкция,противление,,
а то и,дизъюнкция;присоединение(уточнение),сравнение,,
а точнее сказать,присоединение(уточнение),парафраз,эпистемика,
абы,импликация(цель),,,
авось,,,эпистемика,
аж,импликация(следствие);присоединение(дополнение),степень,,
ай,дизъюнкция,,,
аки,сравнение,,,
али,дизъюнкция,,,
аль,дизъюнкция,,,
без сомнения,,,эпистемика,
безусловно,,,эпистемика,
бесспорно,,,эпистемика,
благо,импликация(причина),,оценка,
благодаря тому что,импликация(причина),,,
благодаря чему,импликация(причина),,,
более того,присоединение(дополнение),,,
больше того,присоединение(дополнение),,,
буде,импликация(условие),,,
будто,сравнение,,,
будто бы,сравнение;импликация(условие),,,
будь то,присоединение(уточнение),дизъюнкция,,
будь...а то,замещение,,,
будь...будь,дизъюнкция,,,
быть может,,,эпистемика,
в зависимости от того что,импликация(условие),,,
в знак того что,импликация(цель),,,
в надежде на то что,импликация(цель),,,
в общем,присоединение(обобщение);парафраз,,,
в особенности,присоединение(выделение),присоединение(уточнение),акцентуализация,
в отношении того что,парафраз;присоединение(уточнение),,,
в первую очередь,присоединение(выделение),,акцентуализация,
в подтверждение того что,импликация(цель),,,
в противном случае,дизъюнкция;замещение,противление,,
в противовес тому что,противление,,,
в противоположность тому как,противление,,,
в противоположность тому что,противление,,,
в расчёте на то что,импликация(цель),,,
в результате того что,импликация(причина),,,
в результате чего,импликация(следствие),,,
в связи с тем что,импликация(причина),,,
в связи с тем чтобы,импликация(цель),,,
в связи с чем,импликация(причина);импликация(следствие),,,
в силу того что,импликация(причина),,,
в случае если,импликация(условие),,,
в сравнении с тем как,сравнение,,,
в сравнении с тем что,сравнение,,,
в тех целях чтобы,импликация(цель),,,
в то время как,противление;время,,,
в то же время,противление;время,,,
в том духе что,парафраз;присоединение(уточнение),,,
в том отношении что,парафраз;присоединение(уточнение),,,
в том плане что,парафраз;присоединение(уточнение),,,
в том случае если,импликация(условие),,,
в том смысле что,парафраз;присоединение(уточнение),,,
в том числе,присоединение(уточнение),,,
в том числе и,присоединение(уточнение),,,
в тот момент как,время,,,
в частности,присоединение(уточнение),,,
ввиду того что,импликация(причина),,,
вдобавок,присоединение(дополнение);присоединение(уточнение),,,
ведь,,,эпистемика,
вернее,парафраз,,эпистемика,
вернее сказать,парафраз,,эпистемика,
верней,парафраз,,эпистемика,
верней сказать,парафраз,,эпистемика,
верно,,,эпистемика,
вероятно,,,эпистемика,
видимо,,,эпистемика,
видимо...раз,импликация(причина),,эпистемика,
видно,,,эпистемика,
видно...что,импликация(следствие),,эпистемика,
вместе с тем,присоединение(дополнение);противление,,,
вместо того чтоб,замещение,,,
вместо того чтобы,замещение,,,
вне всякого сомнения,,,эпистемика,
вне сомнения,,,эпистемика,
во всяком случае,противление;присоединение(обобщение);сравнение,,,
во имя того чтобы,импликация(цель),,,
возможно,,,эпистемика,
вообще,присоединение(обобщение),,,
вообще говоря,присоединение(обобщение),,,
вообще-то,присоединение(обобщение),противление,,
вопреки тому что,уступка,противление,,
вот,присоединение(выделение);присоединение(уточнение);время,,акцентуализация,
вот и,импликация(следствие),,акцентуализация,
вот оттого,импликация(следствие),,акцентуализация,
вот почему,импликация(следствие),,акцентуализация,
вот поэтому,импликация(следствие),,акцентуализация,
вот что,присоединение(дополнение);присоединение(уточнение);импликация(следствие),,акцентуализация,
вплоть до того что,присоединение(уточнение),степень,,
впрочем,присоединение(дополнение),противление,,
временами,время,,,
вроде,сравнение;эпистемика,,,
вроде бы,сравнение;эпистемика,,,
вроде как,сравнение;эпистемика,,,
вроде того что,сравнение,,,
вроде того чтоб,сравнение,,,
вроде того чтобы,сравнение,,,
вслед за тем,время;присоединение(дополнение),,,
вслед за тем как,время;присоединение(дополнение),,,
вследствие того что,импликация(следствие),,,
вследствие чего,импликация(следствие),,,
вследствие этого,импликация(следствие),,,
всё ж,противление,уступка,,
всё ж таки,противление,уступка,,
всё же,противление,уступка,,
всё равно как,сравнение,,,
всё равно одно как,сравнение,,,
всё равно что,сравнение,,,
всё-таки,противление;причина,уступка,,
выходит,импликация(следствие),,,
где б ни,замещение,,,
где бы,замещение,,,
где бы ни,замещение,,,
главное,присоединение(выделение),,"оценка,акцентуализация",
главным образом,присоединение(выделение),,"оценка,акцентуализация",
да,противление;соединение(конъюнкция);присоединение(дополнение),,,
да вдобавок,присоединение(дополнение),,,
да ведь,противление,,эпистемика,
да ещё,присоединение(дополнение);соединение(конъюнкция),,,
да ещё и,присоединение(дополнение);соединение(конъюнкция),,,
да и,присоединение(дополнение);импликация(следствие),,,
да и просто,присоединение(дополнение),,,
да и то,присоединение(дополнение),противление,,
да как,время,,,
дабы,импликация(цель),,,
даже,присоединение(выделение);степень,,акцентуализация,
даже если,импликация(условия),степень,акцентуализация,
далее,присоединение(дополнение);время,,,
дальше,присоединение(дополнение);время,,,
даром что,уступка,противление,,
действительно,,,эпистемика,
дескать,,,источник,
для того чтоб,импликация(цель),,,
для того чтобы,импликация(цель),,,
до тех пор пока,время,,,
до того как,время,,,
добро,импликация(причина),,,
добро б,импликация(условие),,,
добро бы,импликация(условие),противление,,
доколе,время,,,
доколь,время,,,
докуда,время,,,
докудова,время,,,
должно быть,импликация(следствие),,эпистемика,
должно быть...раз,импликация(причина),импликация(следствие),эпистемика,
допустим,,,эпистемика,
достаточно...и,импликация(условие),импликация(следствие),,
достаточно...как,импликация(условие),импликация(следствие),,
достаточно...чтобы,импликация(условие),импликация(следствие),,
другими словами,парафраз,,,
едва,время,,,
едва бы,время,,,
едва как,время,,,
едва лишь,время,,,
едва только,время,,,
едва только...как,время,,,
едва...как,время,,,
ежели,импликация(условие),,,
ежели бы,импликация(условие),,,
если,импликация(условие),,,
если...то,импликация(следствие);сравнение;замещение,импликация(условие),,
если б,импликация(условие),,,
если б и,импликация(условие),,,
если б не,импликация(условие),,,
если бы,импликация(условие),,,
если бы и,импликация(условие),,,
если бы не,импликация(условие),,,
если говорить о...то,импликация(условие),импликация(следствие),,
если даже,импликация(условие),,акцентуализация,
если даже и,импликация(условие),,акцентуализация,
если даже и...так,противление;импликация(следствие),импликация(условие),акцентуализация,
если даже и...то,противление;импликация(следствие),импликация(условие),акцентуализация,
если же,импликация(условие),противление,,
если и...так,противление;импликация(следствие),импликация(условие),,
если и...то,противление;импликация(следствие),импликация(условие),,
если и не...то,противление,импликация(условие),,
если не,импликация(условие),замещение,,
